time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
1.620000000000001,0.0,0.0,1.0521045115454732,0.0,0.0,0.0,0.0,0.0,-0.7620997956098743,0.0,0.0,0.0,403.4597010482909,403.4597010482909,403.4597010482909,403.4597010482909,-0.5
1.680000000000001,0.0,0.0,1.005685314373534,0.0,0.0,0.0,0.0,0.0,-0.7852222296824145,0.0,0.0,0.0,396.5243441169056,396.5243441169056,396.5243441169056,396.5243441169056,-0.5
1.740000000000001,0.0,0.0,0.9575461383717957,0.0,0.0,0.0,0.0,0.0,-0.8194406348348962,0.0,0.0,0.0,392.67027423638933,392.67027423638933,392.67027423638933,392.67027423638933,-0.5
1.8000000000000012,0.0,0.0,0.9076001914581673,0.0,0.0,0.0,0.0,0.0,-0.8454429548198922,0.0,0.0,0.0,395.6121595222186,395.6121595222186,395.6121595222186,395.6121595222186,-0.5
1.8600000000000012,0.0,0.0,0.8553492218830892,0.0,0.0,0.0,0.0,0.0,-0.8962940987052136,0.0,0.0,0.0,386.86964276884385,386.86964276884385,386.86964276884385,386.86964276884385,-0.5
1.9200000000000013,0.0,0.0,0.7993379606335089,0.0,0.0,0.0,0.0,0.0,-0.9708075198439962,0.0,0.0,0.0,378.410188986013,378.410188986013,378.410188986013,378.410188986013,-0.5
1.9800000000000013,0.0,0.0,0.7388091585890582,0.0,0.0,0.0,0.0,0.0,-1.0468849924975712,0.0,0.0,0.0,377.9916102963172,377.9916102963172,377.9916102963172,377.9916102963172,-0.5
2.0400000000000014,0.0,0.0,0.6734726969316183,0.0,0.0,0.0,0.0,0.0,-1.1310756054858166,0.0,0.0,0.0,375.1818076243673,375.1818076243673,375.1818076243673,375.1818076243673,-0.5
2.1000000000000014,0.0,0.0,0.6029520907605398,0.0,0.0,0.0,0.0,0.0,-1.2197005280354611,0.0,0.0,0.0,373.74844603672597,373.74844603672597,373.74844603672597,373.74844603672597,-0.5
2.1600000000000015,0.0,0.0,0.5272472349382836,0.0,0.0,0.0,0.0,0.0,-1.303885814516323,0.0,0.0,0.0,375.6182919725117,375.6182919725117,375.6182919725117,375.6182919725117,-0.5
2.2200000000000015,0.0,0.0,0.4461215700262883,0.0,0.0,0.0,0.0,0.0,-1.4004149150335508,0.0,0.0,0.0,371.2855458735468,371.2855458735468,371.2855458735468,371.2855458735468,-0.5
2.2800000000000016,0.0,0.0,0.3583013457625651,0.0,0.0,0.0,0.0,0.0,-1.5270844272902386,0.0,0.0,0.0,360.19315661283366,360.19315661283366,360.19315661283366,360.19315661283366,-0.5
2.3400000000000016,0.0,0.0,0.26246427450360116,0.0,0.0,0.0,0.0,0.0,-1.667676563376014,0.0,0.0,0.0,355.2490640819758,355.2490640819758,355.2490640819758,355.2490640819758,-0.5
2.4000000000000017,0.0,0.0,0.1567934909440994,0.0,0.0,0.0,0.0,0.0,-1.854963910865977,0.0,0.0,0.0,337.16193289762924,337.16193289762924,337.16193289762924,337.16193289762924,-0.5
2.4600000000000017,0.0,0.0,0.03884377683609218,0.0,0.0,0.0,0.0,0.0,-2.07706471965794,0.0,0.0,0.0,323.4503263453977,323.4503263453977,323.4503263453977,323.4503263453977,-0.5
2.520000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3029083800274868,0.0,0.0,0.0,322.9914423017582,322.9914423017582,322.9914423017582,322.9914423017582,-1.5
